year,variable,land_class,value
2012,acres,Fallow,1311.860637509266
2012,abvgc,Fallow,0
2012,soilc,Fallow,18845.719407
2012,noemit,Fallow,0
2012,net,Fallow,18845.719407
2012,acres,Fodder,2836.100815418829
2012,abvgc,Fodder,3477.5554533782397
2012,soilc,Fodder,42371.377821
2012,noemit,Fodder,308.6134925265111
2012,net,Fodder,45848.93327437824
2012,acres,Greenhouse,806.8198665678281
2012,abvgc,Greenhouse,0
2012,soilc,Greenhouse,13797.656613
2012,noemit,Greenhouse,0
2012,net,Greenhouse,13797.656613
2012,acres,Orchard,12304.225352112677
2012,abvgc,Orchard,103076.06399999997
2012,soilc,Orchard,202871.442717
2012,noemit,Orchard,2578.853713000565
2012,net,Orchard,305947.506717
2012,acres,Pastureland,4010.303928836175
2012,abvgc,Pastureland,4917.333763880639
2012,soilc,Pastureland,65780.2872
2012,noemit,Pastureland,436.3857218482377
2012,net,Pastureland,70697.62096388065
2012,acres,Row Crop,73620.31134173462
2012,abvgc,Row Crop,60180.915477093215
2012,soilc,Row Crop,1009446.1933139997
2012,noemit,Row Crop,28642.95231962424
2012,net,Row Crop,1069627.1087910929
2012,acres,Vineyard,26640.17790956264
2012,abvgc,Vineyard,31265.711999999963
2012,soilc,Vineyard,435896.01215100003
2012,noemit,Vineyard,1575.4787235371641
2012,net,Vineyard,467161.724151
2016,acres,Fallow,2360.415122312824
2016,abvgc,Fallow,0
2016,soilc,Fallow,28313.669268
2016,noemit,Fallow,0
2016,net,Fallow,28313.669268
2016,acres,Fodder,3641.3639733135656
2016,abvgc,Fodder,4464.9488742739195
2016,soilc,Fodder,61130.261079
2016,noemit,Fodder,396.2391066124907
2016,net,Fodder,65595.20995327392
2016,acres,Greenhouse,1937.2127501853224
2016,abvgc,Greenhouse,0
2016,soilc,Greenhouse,19398.359709
2016,noemit,Greenhouse,0
2016,net,Greenhouse,19398.359709
2016,acres,Orchard,13800.444773906598
2016,abvgc,Orchard,115610.32799999998
2016,soilc,Orchard,224186.049171
2016,noemit,Orchard,2825.196656232843
2016,net,Orchard,339796.377171
2016,acres,Pastureland,2541.2157153446997
2016,abvgc,Pastureland,3115.9747640361597
2016,soilc,Pastureland,48735.97324200001
2016,noemit,Pastureland,276.52523948094114
2016,net,Pastureland,51851.94800603617
2016,acres,Row Crop,75847.2942920682
2016,abvgc,Row Crop,62001.36244696331
2016,soilc,Row Crop,1055421.5305409997
2016,noemit,Row Crop,30697.443280974217
2016,net,Row Crop,1117422.892987963
2016,acres,Vineyard,29095.552260934026
2016,abvgc,Vineyard,34147.41299999996
2016,soilc,Vineyard,483679.28844900004
2016,noemit,Vineyard,1725.9793429923552
2016,net,Vineyard,517826.701449
2019,acres,Fallow,7465.307635285397
2019,abvgc,Fallow,0
2019,soilc,Fallow,93492.839142
2019,noemit,Fallow,0
2019,net,Fallow,93492.839142
2019,acres,Fodder,5090.437361008154
2019,abvgc,Fodder,6241.766198371198
2019,soilc,Fodder,93081.450915
2019,noemit,Fodder,553.9216532527123
2019,net,Fodder,99323.2171133712
2019,acres,Greenhouse,1691.9199406968125
2019,abvgc,Greenhouse,0
2019,soilc,Greenhouse,15571.767708
2019,noemit,Greenhouse,0
2019,net,Greenhouse,15571.767708
2019,acres,Orchard,13633.654558932543
2019,abvgc,Orchard,114213.07799999998
2019,soilc,Orchard,228282.135534
2019,noemit,Orchard,3243.592313332583
2019,net,Orchard,342495.213534
2019,acres,Pastureland,1725.9451445515197
2019,abvgc,Pastureland,2116.3105052668798
2019,soilc,Pastureland,33169.246047
2019,noemit,Pastureland,187.81065753142417
2019,net,Pastureland,35285.55655226688
2019,acres,Row Crop,62610.15567086731
2019,abvgc,Row Crop,51180.66492473668
2019,soilc,Row Crop,914318.3963699996
2019,noemit,Row Crop,24135.718277978543
2019,net,Row Crop,965499.0612947363
2019,acres,Vineyard,31674.79614529281
2019,abvgc,Vineyard,37174.49099999994
2019,soilc,Vineyard,511507.09494900005
2019,noemit,Vineyard,1873.222002071272
2019,net,Vineyard,548681.585949
2012,acres,Rangeland,584125
2012,abvgc,Rangeland,8751987.52956331
2012,soilc,Rangeland,6165256.100271118
2012,noemit,Rangeland,0
2012,net,Rangeland,14917243.629834428
2016,acres,Rangeland,586047
2016,abvgc,Rangeland,8780784.995913528
2016,soilc,Rangeland,6185542.207225488
2016,noemit,Rangeland,0
2016,net,Rangeland,14966327.203139015
2019,acres,Rangeland,573678
2019,abvgc,Rangeland,8595459.365691967
2019,soilc,Rangeland,6054991.293115916
2019,noemit,Rangeland,0
2019,net,Rangeland,14650450.658807883
2012,abvgc,total_allclasses,8954905.110257661
2016,abvgc,total_allclasses,9000125.0229988
2019,abvgc,total_allclasses,8806385.676320342
2012,acres,total_allclasses,705654.799851742
2016,acres,total_allclasses,715270.4988880652
2019,acres,total_allclasses,697570.2164566346
2012,net,total_allclasses,16909169.89975178
2016,net,total_allclasses,17106532.361683287
2019,net,total_allclasses,16750799.900101257
2012,noemit,total_allclasses,33542.28397053672
2016,noemit,total_allclasses,35921.383626292845
2019,noemit,total_allclasses,29994.264904166535
2012,soilc,total_allclasses,7954264.789494118
2016,soilc,total_allclasses,8106407.338684487
2019,soilc,total_allclasses,7944414.223780915
